question,option1,option2,option3,option4,answer,explanation
"VPC内のリソースがインターネットと通信するために、VPCにアタッチする必要があるコンポーネントはどれですか？","NAT ゲートウェイ","インターネットゲートウェイ (IGW)","仮想プライベートゲートウェイ","VPC エンドポイント",2,"インターネットゲートウェイはVPCとインターネット間の通信を可能にする論理接続です。"
"パブリックIPを持たないインスタンスが、インターネット上のパッチをダウンロードするために使用するマネージドサービスは？","インターネットゲートウェイ","NAT ゲートウェイ","Egress-Only インターネットゲートウェイ","VPC ピアリング",2,"NATゲートウェイは、プライベートサブネットのインスタンスがインターネットへ送信通信を行うためのサービスです。"
"2つの異なるVPC間で、プライベートIPアドレスを使用して直接通信を可能にする接続方式は？","VPC ピアリング","AWS Direct Connect","VPN","NAT ゲートウェイ",1,"VPCピアリングを使用すると、2つのVPC間でトラフィックをルーティングし、あたかも同じネットワーク内にあるように通信できます。"
"サブネットレベルでトラフィックを制御する、ステートレスなファイアウォール機能はどれですか？","セキュリティグループ","ネットワークACL (NACL)","ルートテーブル","WAF",2,"ネットワークACLはサブネット単位で動作し、インバウンドとアウトバウンドの両方を明示的に許可/拒否する必要があります。"
"セキュリティグループがステートフルであるとは、どのような意味ですか？","戻りのトラフィックが自動的に許可される","すべての通信を拒否する","IPアドレスを固定する","通信ログを記録する",1,"ステートフルなセキュリティグループは、一度許可されたインバウンド通信に対する戻りのアウトバウンド通信を自動的に許可します。"
"オンプレミスとAWSを、インターネットを経由しない専用線で接続するサービスはどれですか？","AWS Client VPN","AWS Direct Connect","AWS Site-to-Site VPN","VPC エンドポイント",2,"Direct Connectは、専用のネットワーク接続を構築し、一貫した帯域幅と低レイテンシを実現します。"
"複数のVPCやオンプレミスネットワークをハブアンドスポーク方式で中央集中型に接続するサービスは？","VPC ピアリング","AWS Transit Gateway","NAT ゲートウェイ","AWS PrivateLink",2,"Transit Gatewayは複雑なネットワーク構成を簡素化し、多数のVPCやVPNを1つにまとめて管理できます。"
"S3やDynamoDBに対して、インターネットゲートウェイを経由せずにプライベートにアクセスするためのVPCエンドポイントのタイプは？","インターフェイスエンドポイント","ゲートウェイエンドポイント","ネットワークエンドポイント","エンドポイントサービス",2,"S3とDynamoDBには無料で利用できるゲートウェイ型のVPCエンドポイントが用意されています。"
"AWS PrivateLinkを使用して、独自のサービスを他のVPCから安全に利用可能にするためのエンドポイントのタイプは？","ゲートウェイエンドポイント","インターフェイスエンドポイント","VPNエンドポイント","ピアリングエンドポイント",2,"インターフェイスエンドポイント(ENI)を使用すると、PrivateLink経由でプライベートにサービスを公開・利用できます。"
"IPv6専用のインスタンスからインターネットへの送信のみを許可し、外からの接続をブロックするために使用するコンポーネントは？","NAT ゲートウェイ","Egress-Only インターネットゲートウェイ","NAT インスタンス","インターネットゲートウェイ",2,"Egress-Only IGWはIPv6トラフィック専用で、アウトバウンドのみを許可する設計です。"
"VPC内の全通信ログ（送信元/送信先IP、ポート番号など）を分析・監視するために有効にする機能は？","CloudWatch Logs","VPC フローログ","AWS CloudTrail","Amazon GuardDuty",2,"VPCフローログを使用すると、VPC内のネットワークインターフェースを通過するIPトラフィックの詳細を記録できます。"
"Route 53において、ユーザーを物理的に最も近いAWSリージョンへルーティングするポリシーはどれですか？","位置情報ルーティング","レイテンシルーティング","加重ルーティング","シンプルルーティング",2,"レイテンシルーティングは、ネットワーク遅延（レイテンシ）が最も小さいリージョンへユーザーを誘導します。"
"Route 53で、特定の国や地域（例：日本）からのリクエストを特定のサーバーへ誘導するポリシーは？","レイテンシルーティング","位置情報ルーティング","地理的近接性ルーティング","IPベースルーティング",2,"位置情報ルーティング(Geolocation)を使用すると、ユーザーの居住地域に基づいてコンテンツを出し分けられます。"
"Route 53の加重ルーティング(Weighted)の主な用途はどれですか？","災害対策","カナリアリリースやA/Bテスト","高速化","セキュリティ強化",2,"加重ルーティングではトラフィックの比率を調整できるため、新バージョンのテスト配布に適しています。"
"静的・動的コンテンツの配信を高速化するために、世界中のエッジロケーションを使用してキャッシュを行うサービスは？","Amazon Route 53","Amazon CloudFront","AWS Global Accelerator","Amazon S3",2,"CloudFrontはCDN（コンテンツデリバリネットワーク）として機能し、ユーザーに最も近い場所から応答します。"
"CloudFrontにおいて、特定のユーザー（有料会員など）にのみコンテンツへのアクセスを許可するために使用する機能は？","セキュリティグループ","署名付きURL または 署名付きクッキー","IAMポリシー","バケットポリシー",2,"これらを使用すると、一定期間のみ有効な専用リンクを生成し、コンテンツを保護できます。"
"CloudFrontのエッジでコードを実行し、リクエストやレスポンスをカスタマイズできるサーバーレス機能は？","AWS Lambda","CloudFront Functions または Lambda@Edge","AWS App Runner","Amazon API Gateway",2,"エッジコンピューティングを使用することで、ヘッダーの書き換えや認証、URLのリダイレクトなどを高速に処理できます。"
"AWS Global Acceleratorを使用する最大のメリットはどれですか？","コスト削減","AWSのグローバルネットワークを使用して、アプリケーションの可用性とパフォーマンスを向上させる","ストレージのバックアップ","画像のリサイズ",2,"Global Acceleratorは、固定IPを提供し、世界中のユーザーを最適なエンドポイントへ高速なAWSバックアップネット経由で接続します。"
"VPCにおいて、新しいサブネットを作成した際にデフォルトで適用されるルートテーブルはどれですか？","メインルートテーブル","カスタムルートテーブル","パブリックルートテーブル","ローカルルートテーブル",1,"新しいサブネットは自動的にVPCのメインルートテーブルに関連付けられます。"
"ハイブリッド環境において、1つのVPN接続で複数のVPCと通信させたい場合に適したアーキテクチャは？","VPC ピアリングを連鎖させる","Transit Gatewayを介したVPN接続","NAT ゲートウェイを多段にする","Direct Connectを全VPCに引く",2,"Transit GatewayはVPN接続も集約できるため、1つのトンネルで複数のネットワークとやり取り可能です。"
"VPCピアリングにおいて、『VPC AとB』『VPC BとC』が接続されている場合、AとCは直接通信できますか？","できる","できない（推移的ルーティングはサポートされない）","Bが許可すればできる","IPv6ならできる",2,"VPCピアリングは推移的(Transitive)ではないため、AとCを繋ぐには別途直接ピアリングを結ぶ必要があります。"
"インターネットゲートウェイ(IGW)自体の可用性はどのようになっていますか？","ユーザーが冗長化する必要がある","AWS側で自動的に冗長化され、高い可用性を持つ","1つのAZに固定される","バックアップ用が必要",2,"IGWはAWSのマネージドコンポーネントであり、単一障害点にならないように設計されています。"
"VPCのCIDRブロック（IP範囲）を後から拡張（追加）することは可能ですか？","可能","不可能","東京リージョンのみ可能","有料オプションが必要",1,"既存のVPCに対して、互換性のあるセカンダリCIDRブロックを追加することが可能です。"
"パブリックサブネット内のEC2インスタンスが、インターネットと通信するために最低限必要なIP構成は？","プライベートIPのみ","パブリックIP (または Elastic IP)","IPv6のみ","仮想IP",2,"パブリックサブネットであっても、インスタンス自身が外とやり取りするためのパブリックアドレスを持つ必要があります。"
"Route 53のヘルスチェックが失敗した際、自動的に予備のサイトへ切り替える構成を何と呼びますか？","アクティブ/アクティブ","DNSフェイルオーバー","ラウンドロビン","マルチAZ",2,"プライマリがダウンした際にセカンダリのIPを返すように設定することで、災害対策を実現します。"
"CloudFrontで、オリジン（S3バケット等）への直接アクセスを禁止し、CloudFront経由のみに制限するための設定は？","OAI (Origin Access Identity) または OAC (Origin Access Control)","IAM ロール","VPC エンドポイント","セキュリティグループ",1,"OAC等を使用すると、S3バケットを非公開にしたまま、CloudFrontからのみデータを取得できるように制限できます。"
"Route 53で、AWSリソース（ALBやS3等）のDNS名をIPアドレスではなく名前のまま関連付ける、AWS独自のレコードタイプは？","CNAME レコード","エイリアス (Alias) レコード","MX レコード","PTR レコード",2,"エイリアスレコードは無料（Route 53内）で、AWSリソースの変化に追従し、パフォーマンスも優れています。"
"VPCエンドポイント（インターフェイス型）を使用する際、DNS名の解決をVPC内だけで完結させるための設定は？","Public DNS","Private DNS 名称 (Private DNS Names)","Route 53 Hosted Zone","DHCP オプション",2,"Private DNSを有効にすると、標準のサービスドメイン名をそのままエンドポイントのプライベートIPに解決できます。"
"Direct Connect接続において、1Gbpsや10Gbpsといった物理ポートを専有せず、パートナー経由で必要な帯域（50Mbpsなど）を確保するモデルを何と呼びますか？","専有型接続","ホスト型接続 (Hosted Connection)","共有型接続","VPNハブ",2,"ホスト型接続を使用すると、小規模な帯域から柔軟に専用線環境を導入できます。"
"VPC内のサブネット間で、デフォルトで通信が可能な理由は？","全開放のセキュリティグループがあるから","ルートテーブルに『Local』のターゲットがあるから","インターネットゲートウェイがあるから","IAMで許可されているから",2,"すべてのルートテーブルには、VPC内部の通信を許可するローカルルートが自動的に含まれています。"
"Route 53において、1つのレコード名（example.com）に対して複数のIPアドレスを登録し、ランダムに返すポリシーは？","フェイルオーバー","シンプルルーティング","加重ルーティング","レイテンシ",2,"シンプルルーティングを使用すると、1つのドメインに対して複数のエンドポイントを指定し、負荷を分散できます。"
"VPC内で、DHCPオプションセットを使用してカスタマイズできる項目はどれですか？","インスタンスのIPアドレス","独自のDNSサーバーやドメイン名","帯域幅の制限","OSのユーザー名",2,"社内のDNSサーバーを使用したい場合などに、VPC全体の設定として配布できます。"
"セキュリティグループで、『インバウンド（受信）』を許可設定した際、戻りの『アウトバウンド（送信）』を設定しなくて良い理由は？","自動ですべて許可されているから","セキュリティグループがステートフルだから","ステートレスだから","AWSが判断するから",2,"ステートフルな仕組みにより、許可されたインバウンドへの『戻り』は自動で追跡され、通過が許可されます。"
"サブネットのネットワークACL(NACL)で、特定のIPアドレス（攻撃元など）を明示的に『拒否(Deny)』することは可能ですか？","可能","不可能（許可しかできない）","セキュリティグループなら可能","AWS Shieldが必要",1,"NACLは『許可』と『拒否』の両方を記述できるため、ブラックリスト形式の制限が可能です。"
"1つのEC2インスタンスに複数のセキュリティグループを適用した場合、権限はどうなりますか？","最後に設定したものが優先される","すべての許可設定が合算（OR条件）される","拒否設定が優先される","1つしか設定できない",2,"複数のセキュリティグループを適用すると、すべての許可ルールが統合され、どれか1つでも許可されていれば通信できます。"
"NATゲートウェイを使用する際、配置場所として正しいのはどこですか？","プライベートサブネット","パブリックサブネット","オンプレミス","VPCの外",2,"NATゲートウェイ自体がインターネットと通信する必要があるため、パブリックサブネットに置く必要があります。"
"インターネットゲートウェイを持たないVPCから、AWS API（例：S3）を呼び出すために必要なのは？","NAT インスタンス","VPC エンドポイント","仮想プライベートゲートウェイ","VPC ピアリング",2,"VPCエンドポイントを使用すれば、インターネットを通らずにAWSサービスへアクセス可能です。"
"CloudFrontにおいて、特定の地域（例：一部の国）からのアクセスを遮断する機能はどれですか？","地理的制限 (Geo Restriction) / 地理的ブロック","ルートテーブル","IAM","WAF",1,"CloudFrontの標準機能で、特定の国からのアクセスをホワイトリストまたはブラックリスト形式で制御できます。"
"AWS Site-to-Site VPNにおいて、高い可用性を確保するためにAWS側で提供されるトンネルの数は？","1つ","2つ","3つ","10個",2,"AWSは冗長性のために2つのエンドポイント（トンネル）を提供しており、ユーザー側で両方を活用することが推奨されます。"
"Route 53のフェイルオーバールーティングにおいて、メインのサーバーが生きているかどうかを確認する仕組みは？","CloudWatch ログ","Route 53 ヘルスチェック","ELBの再起動","SNS通知",2,"ヘルスチェックを設定することで、応答がなくなった際に自動でセカンダリへ切り替えます。"
"VPCのサブネットを作成する際、予約されているIPアドレス（使用できないIP）は1つのサブネットにつき何個ありますか？","1個","2個","5個","ない",3,"ネットワークアドレス、VPCルーター、DNS、予約用、ブロードキャストアドレスの計5つがAWSによって予約されています。"
