question,option1,option2,option3,option4,answer,explanation
"The project was --- completed despite the unexpected technical difficulties.","success","successful","successfully","succeed",3,"動詞 completed を修飾するのは副詞の successfully です。"
"Please read the instructions --- before operating the heavy machinery.","careful","carefully","carefulness","caring",2,"動詞 read を修飾するのは副詞の carefully です。"
"The value of the company's stock has risen --- over the last quarter.","significant","significance","significantly","signified",3,"動詞 risen を修飾するのは副詞の significantly です。"
"Mr. Lee's presentation was --- received by the potential investors.","high","highly","height","higher",2,"highly received（高く評価される）という形容詞を修飾する副詞 highly です。"
"The new security system is --- more effective than the previous one.","considerate","considerably","consideration","consider",2,"比較級 more effective を強調するのは副詞の considerably です。"
"The train to the airport departs --- every thirty minutes.","prompt","prompted","promptly","promptness",3,"動詞 departs を修飾するのは副詞の promptly です。"
"The store is --- located near the central train station.","convenience","convenient","conveniently","convene",3,"受動態の be located の間に入り修飾するのは副詞の conveniently です。"
"She has --- finished the report, so it will be sent out shortly.","almost","mostly","nearly","hardly",1,"「ほとんど〜し終えた」という意味で動詞を修飾する almost が適切です。"
"Our sales representatives travel --- to meet with international clients.","frequent","frequency","frequently","frequented",3,"動詞 travel を修飾するのは副詞の frequently です。"
"The manager checked the final draft --- for any grammatical errors.","thorough","thoroughly","thoroughness","through",2,"動詞 checked を修飾するのは副詞の thoroughly（徹底的に）です。"
