question,option1,option2,option3,option4,answer,explanation
"The CEO --- the new marketing strategy at next Monday's board meeting.","announces","announced","will announce","announcing",3,"next Monday（来週の月曜）とあるため、未来を表す will announce が適切です。"
"Our technicians --- the server issues by the time you arrive at the office tomorrow.","will have resolved","resolve","resolved","resolving",1,"by the time + 現在形（明日到着するまでに）は「未来完了」を導くキーワードです。"
"Please ensure that the report --- to the manager before the end of the day.","is submitting","submits","be submitted","has submitted",3,"ensure that節の中では、仮定法現在（shouldの省略）として動詞の原形 be が使われます。"
"The company --- its production capacity last year to meet the growing demand.","expands","expanded","expanding","has expanded",2,"last year（昨年）という過去の特定時点があるため、単純過去形が適切です。"
"The committee members --- the proposal for three hours before reaching a decision.","discuss","discussing","had discussed","was discussed",3,"過去の特定時点（決定に至る）より前の継続的な動作なので、過去完了形が適切です。"
"Ms. Sato --- for the company for over twenty years when she retires next month.","works","worked","will have been working","is working",3,"来月退職する時点で「20年間働いていることになる」という未来の完了継続を表します。"
"If the budget --- approved, we will begin the renovation immediately.","is","be","were","has",1,"If節（条件）の中では、未来のことでも現在形を用います。"
"The new software --- by all departments since the update last week.","uses","is using","has been used","was used",3,"since（〜以来）という継続期間があるため、現在完了形（受動態）が適切です。"
"Applicants are required --- their resumes in PDF format.","submit","submits","to submit","submitting",3,"require A to do（Aに〜するよう求める）の受動態（be required to do）です。"
"The hotel staff --- to assist guests with their luggage upon request.","is trained","trains","training","to train",1,"スタッフは「訓練されている（状態）」ので、受動態が適切です。"
