question,option1,option2,option3,option4,answer,explanation
"OSI基本参照モデルの第3層（ネットワーク層）で動作し、IPアドレスを元に経路選択を行うデバイスはどれか？","リピータ","ブリッジ","レイヤ2スイッチ","ルータ",4,"ルータ（またはL3スイッチ）は、IPアドレスを見てパケットを適切な経路へ転送（ルーティング）します。"
"IPv4アドレスにおいて、サブネットマスクの役割はどれか？","通信速度を制限する","ネットワークアドレスとホストアドレスを識別する","MACアドレスに変換する","ドメイン名に変換する",2,"サブネットマスクは、IPアドレスのどこまでがネットワーク部かを定義するために使用します。"
"ドメイン名とIPアドレスを対応付ける（名前解決を行う）サービスはどれか？","DHCP","DNS","FTP","SNMP",2,"DNS（Domain Name System）は、「google.com」のような名前をIPアドレスに変換します。"
"クライアントPCに対して、IPアドレスを自動的に割り当てるプロトコルはどれか？","SMTP","HTTP","DHCP","POP3",3,"DHCPを利用することで、ネットワークに接続した端末に自動で設定（IP、ゲートウェイ等）を配布できます。"
"トランスポート層のプロトコルで、信頼性は低いが高精度なリアルタイム性が求められる通信（動画配信等）に適しているのは？","TCP","UDP","IP","HTTP",2,"UDPはコネクションレス型で、確認応答を行わない代わりに高速なデータ転送が可能です。"
"WebブラウザとWebサーバーの間でデータを安全にやり取りするために、通信を暗号化するプロトコルはどれか？","HTTP","FTP","HTTPS (TLS/SSL)","SSH",3,"HTTPSは、HTTPにSSL/TLSによる暗号化を組み合わせたプロトコルです。"
"プライベートIPアドレスをグローバルIPアドレスに、1対1で変換する技術を何と呼ぶか？","NAT","NAPT (IPマスカレード)","DHCP","ARP",1,"NAT（Network Address Translation）はアドレスを1対1で変換します。ポート番号も使うのはNAPTです。"
"IPv6のアドレス長は何ビットか？","32ビット","48ビット","64ビット","128ビット",4,"IPv4は32ビットですが、IPv6は128ビットに拡張されており、事実上無限のアドレスが利用可能です。"
"ネットワークの疎通確認のために、ICMPプロトコルを利用して応答を確認するコマンドはどれか？","ipconfig","nslookup","ping","tracert",3,"pingコマンドはICMPのエコーリクエストを送り、相手からの応答があるかを確認します。"
"MACアドレスからIPアドレスを求めるのではなく、IPアドレスからMACアドレスを求めるプロトコルはどれか？","ARP","RARP","DNS","DHCP",1,"ARP（Address Resolution Protocol）は、同一ネットワーク内のIPアドレスに対応するMACアドレスを調査します。"
