question,option1,option2,option3,option4,answer,explanation
"All employees must wear their ID badges --- they are in the building.","while","during","between","across",1,"whileは接続詞（S+Vが続く）、duringは前置詞（名詞が続く）です。"
"The conference will be held in the main ballroom --- the second floor.","at","in","on","to",3,"階数（floor）を表すときは、接触を表す on を使います。"
"The deadline for the project has been extended --- next Friday.","at","until","by","since",2,"期限が「〜まで（継続）」延びた場合は until を使います。（byは期限の「点」）"
"The office will be closed --- the renovation period.","between","during","among","under",2,"特定の期間（名詞）を表すため、duringが適切です。"
"Mr. Gomez was selected for the position --- his extensive experience in sales.","because","despite","due to","instead",3,"due to は「〜のために（理由）」を表す前置詞句です。"
"The library is located right --- the post office.","next","between","across from","among",3,"across from は「〜の向かいに」を表す表現です。（next toなら正解）"
"Please store all cleaning chemicals --- the reach of children.","within","beyond","out of","inside",3,"out of the reach of 〜 で「〜の手の届かないところに」という定型表現です。"
"The new policy will go --- effect starting January 1.","into","onto","up to","to",1,"go into effect で「（法律などが）施行される、発効する」という熟語です。"
"Delegates from various countries discussed the issue --- themselves.","along","among","between","across",2,"3者以上の中で（自分たち同士で）という場合は among を使います。"
"The document must be signed --- the presence of a notary public.","at","in","by","on",2,"in the presence of 〜 で「〜の立ち会いのもとで」という慣用表現です。"
