question,option1,option2,option3,option4,answer,explanation
"機密性・完全性・可用性のうち、情報が改ざんされていないことを保証する性質はどれか？","機密性","完全性","可用性","真正性",2,"完全性（Integrity）は、データが正確で、不正に書き換えられていない状態を維持する性質です。"
"公開鍵暗号方式において、送信者が「受信者の公開鍵」で暗号化して送ったデータは、誰が復号できるか？","誰でも復号できる","送信者の公開鍵で復号できる","受信者の秘密鍵で復号できる","送信者の秘密鍵で復号できる",3,"受信者の公開鍵で暗号化したものは、対になる「受信者の秘密鍵」を持つ本人だけが復号できます。"
"DoS攻撃のうち、複数のコンピュータから特定のサーバーに対して一斉に攻撃を仕掛けるものを何と呼ぶか？","DDoS攻撃","SQLインジェクション","クロスサイトスクリプティング","辞書攻撃",1,"DDoS攻撃（Distributed Denial of Service）は、分散した複数の端末から大量のパケットを送る攻撃です。"
"Webサイトの入力フォームに悪意のあるスクリプトを混入させ、利用者のブラウザ上で実行させる攻撃はどれか？","SQLインジェクション","クロスサイトスクリプティング(XSS)","ブルートフォース攻撃","ソーシャルエンジニアリング",2,"XSSは、脆弱なWebサイトを介して利用者のブラウザで悪意あるJavaScriptを実行させる攻撃です。"
"二要素認証の組み合わせとして、適切なものはどれか？","パスワードと生年月日","指紋と顔認証","パスワードとワンタイムパスワード","ICカードと社員証",3,"「知識（パスワード）」と「所持（スマホに届くワンタイムパスワード）」のように、異なる要素を組み合わせるのが二要素認証です。"
"ディジタル署名によって確認できることはどれか？","データの機密性","受信者がデータを読み取ったこと","送信者の本人確認とデータの改ざん検知","通信経路の暗号化",3,"ディジタル署名は、ハッシュ値と比較することで「本人が送ったか（なりすまし）」と「内容が正しいか（改ざん）」を確認します。"
"WAF（Web Application Firewall）が防御対象とするレイヤーはどれか？","物理層","ネットワーク層","トランスポート層","アプリケーション層",4,"WAFは、HTTP/HTTPSプロトコルを解析し、Webアプリケーションへの攻撃（SQLiやXSSなど）を防ぎます。"
"IDS（侵入検知システム）の説明として正しいものはどれか？","通信を遮断する機能のみを持つ","ネットワークへの侵入を検知して管理者に通知する","ウイルスを駆除する","データを暗号化する",2,"IDS（Intrusion Detection System）は侵入を「検知・通知」する仕組みです。遮断まで行うのはIPSです。"
"ランサムウェアの説明として適切なものはどれか？","PCをロックしたりファイルを暗号化して、復元のために金銭を要求する","キー入力を記録して外部に送信する","広告を勝手に表示させる","大量のメールを送信する",1,"ランサム（身代金）を要求する悪意のあるプログラムです。"
"標的型メール攻撃の対策として、最も適切なものはどれか？","ウイルス対策ソフトを導入しているから添付ファイルは全て開く","知らない送信者からのメールのリンクはクリックしない","パスワードを定期的に変更する","PCの電源をこまめに切る",2,"心当たりのないメールや、不自然なリンク・添付ファイルを開かないことが最大の防御です。"
