question,option1,option2,option3,option4,answer,explanation
"非常に高い可用性が求められるWebアプリで、数分間のダウンタイムも許容されません。最小コストで実現する構成は？","1つのAZに2台のEC2を配置","2つのAZにまたがるAuto ScalingとALBの利用","3つのリージョンに分散配置","マルチマスターのRDSのみを利用",2,"マルチAZ構成とALBを組み合わせることで、1つのAZが停止しても自動的に他方で処理を継続でき、可用性とコストのバランスが最適になります。"
"オンプレミスから100TBのデータを10日間でAWSへ移行したい。インターネット帯域は100Mbpsしかない。最適な方法は？","AWS DataSyncによる転送","AWS Snowball Edgeの使用","VPN経由でのアップロード","S3 Transfer Accelerationの利用",2,"100Mbpsの回線で100TBを送るには数ヶ月かかります。物理デバイスであるSnowball Edgeを使用するのが最も現実的で高速です。"
"画像投稿サイトで、元の画像はS3に保存し、サムネイル作成はリアルタイムで行いたい。最も疎結合でスケーラブルな構成は？","EC2で常時ポーリングするプログラムを動かす","S3イベント通知をトリガーにLambdaを起動する","API GatewayからEC2を呼び出す","SQSのみを使用する",2,"S3イベント通知とLambdaの組み合わせは、サーバー管理不要でイベント駆動な設計を可能にするサーバーレスの王道です。"
"数千のクライアントからミリ秒未満の応答が求められるリアルタイムリーダーボード（順位表）を構築したい。最適なDBは？","Amazon RDS (MySQL)","Amazon DynamoDB + DAX","Amazon S3","Amazon Redshift",2,"DynamoDBにDAX（インメモリキャッシュ）を追加することで、マイクロ秒単位の超高速な応答が可能になります。"
"コンプライアンス要件により、S3上のデータを5年間保存し、その間は管理者も削除できないようにしたい。どの機能を使うべきか？","S3 バージョニング","S3 ライフサイクルポリシー","S3 オブジェクトロック (コンプライアンスモード)","S3 サーバーアクセスログ",3,"オブジェクトロックのコンプライアンスモードは、保持期間中の削除をAWSルートユーザーを含めて完全に禁止します。"
"夜間のバッチ処理で、中断されても再実行が可能。最もコストを抑えられるEC2の購入オプションは？","オンデマンドインスタンス","リザーブドインスタンス","スポットインスタンス","専用ホスト",3,"スポットインスタンスは中断のリスクがある代わりに最大90%割引されるため、バッチ処理に最適です。"
"世界中のユーザーが利用するWebサイトで、動的なパーソナライズをエッジで行いつつ、全体を高速化したい。組み合わせるべきサービスは？","CloudFront + Lambda@Edge","Global Accelerator + EC2","Route 53 + S3","ELB + CloudWatch",1,"CloudFrontでキャッシュしつつ、Lambda@Edgeでユーザーに近い場所でリクエストをカスタマイズするのが最適です。"
"機密性の高いデータをS3に保存する際、暗号化キーの作成・管理をユーザー側で完全に行いたい。どの暗号化方式を選択すべきか？","SSE-S3","SSE-KMS","SSE-C","クライアントサイド暗号化",3,"SSE-C (Customer-provided keys) を使用すると、ユーザーが提供する鍵を使用してAWS側で暗号化を行います。"
"数千台のEC2インスタンスから同時に書き込み可能なLinux共有ファイルシステムを構築したい。最適なストレージは？","Amazon EBS","Amazon S3","Amazon EFS","Amazon FSx for Lustre",3,"EFSは数千の接続から同時にマウント可能なマネージドな共有ストレージ(NFS)です。"
"データベースへの接続が急増し、接続エラーが発生している。既存のコードを最小限の変更でスケールさせる方法は？","RDSインスタンスを大きくする","Amazon RDS Proxyの導入","リードレプリカの追加","DynamoDBへ移行する",2,"RDS Proxyはコネクションプーリングを提供し、多数の接続を効率的に管理してDBの負荷を軽減します。"
