question,option1,option2,option3,option4,answer,explanation
"The marketing team is looking for a --- candidate with digital design skills.","qualify","qualification","qualified","qualifying",3,"「資格のある、適任の」という状態を表す形容詞 qualified が適切です。"
"The company provides a --- benefit package to its full-time employees.","comprehend","comprehensive","comprehensively","comprehension",2,"名詞 package を修飾する形容詞 comprehensive（包括的な）が適切です。"
"The customer service department received a --- number of complaints yesterday.","substantial","substantially","substance","substantiate",1,"名詞 number を修飾する形容詞 substantial（かなりの）が適切です。"
"It is --- to keep a copy of all signed contracts for your records.","advise","advisable","advisably","advice",2,"It is advisable to do（〜するのが望ましい）という形式主語の構文です。"
"The latest model of the smartphone is extremely --- among young professionals.","popular","popularity","popularly","populate",1,"be動詞 is の補語となり、副詞 extremely で修飾される形容詞 popular が適切です。"
"Please make sure that the information provided is --- and up to date.","accuracy","accurate","accurately","accurateness",2,"be動詞 is の補語となる形容詞 accurate（正確な）が適切です。"
"Our company is --- for the safe disposal of all industrial waste.","response","responsible","responsibly","responsibility",2,"be responsible for 〜（〜に対して責任がある）という熟語です。"
"The CEO made a --- decision to expand into the European market.","strategy","strategic","strategically","strategize",2,"名詞 decision を修飾する形容詞 strategic（戦略的な）が適切です。"
"The weather forecast says it will be --- for the remainder of the week.","sunny","sun","sunnily","sunniness",1,"be動詞 will be の補語となる形容詞 sunny が適切です。"
"A --- list of participants is available at the registration desk.","complete","completely","completion","completing",1,"名詞 list を修飾する形容詞 complete（完全な、全部の）が適切です。"
