question,option1,option2,option3,option4,answer,explanation
"サーバーのプロビジョニングや管理を必要とせずにコードを実行できる、イベント駆動型のコンピューティングサービスは？","Amazon EC2","AWS Lambda","AWS Elastic Beanstalk","Amazon ECS",2,"AWS Lambdaは、サーバー管理不要でコードを実行できるサーバーレスコンピューティングの代表的なサービスです。"
"システム間でメッセージを非同期にやり取りし、コンポーネント同士を疎結合（デカップリング）にするためのキューイングサービスは？","Amazon SNS","Amazon SQS","Amazon Kinesis","AWS Step Functions",2,"Amazon SQSは、メッセージをキューに保持し、非同期で処理を行うことでシステムの負荷分散と可用性を高めます。"
"1つのメッセージを複数の受信者（ファンアウト）に一斉配信する、プッシュ型の通知サービスは？","Amazon SQS","Amazon SNS","Amazon SES","Amazon MQ",2,"Amazon SNSは、パブリッシュ/サブスクライブ方式を用いて、複数のエンドポイントにメッセージを一括配信します。"
"サーバーレスでRESTful APIやWebSocket APIを作成、公開、保守、監視、保護するためのマネージドサービスは？","AWS AppSync","Amazon API Gateway","AWS Direct Connect","Amazon Route 53",2,"API Gatewayを使用すると、バックエンドサービス（Lambdaなど）へのセキュアな入り口を簡単に構築できます。"
"複数のAWSサービスを組み合わせて、視覚的なワークフローを作成し、ビジネスプロセスを自動化するサービスは？","AWS Lambda","AWS Step Functions","AWS Glue","AWS Batch",2,"Step Functionsを使用すると、エラー処理や条件分岐を含む複雑な一連の処理（ステートマシン）を視覚的に管理できます。"
"Amazon SQSにおいて、同じメッセージが複数の受信者に同時に処理されないように、一時的にキューから見えなくする時間を何と呼びますか？","待機時間","可視性タイムアウト (Visibility Timeout)","遅延キュー","保持期間",2,"可視性タイムアウトを設定することで、あるワーカーが処理中のメッセージを他のワーカーが重複して処理するのを防ぎます。"
"順序が保証され、重複のないメッセージ処理が必要な場合に使用すべきSQSキューのタイプは？","標準キュー","FIFO キュー","デッドレターキュー","遅延キュー",2,"FIFO（First-In-First-Out）キューは、メッセージの送信順序を厳密に守り、1回限りの配信を保証します。"
"大量のストリーミングデータをリアルタイムで収集、処理、分析するためのサービスは？","Amazon SQS","Amazon Kinesis Data Streams","Amazon MSK","AWS Glue",2,"Kinesis Data Streamsは、数千のソースからの連続的なデータをミリ秒単位でリアルタイムに処理するのに適しています。"
"AWS Lambdaの最大実行時間（タイムアウト）制限はどれくらいですか？","1分","5分","15分","無制限",3,"Lambdaの1回の実行時間は最大15分（900秒）に制限されています。長時間かかる処理はStep Functions等で分割します。"
"API Gatewayにおいて、特定のクライアントからのリクエスト数を制限（レート制限）してバックエンドを保護する機能を何と呼びますか？","スロットリング","キャッシング","オーソライザー","API キー",1,"スロットリングを設定することで、過剰なリクエストからシステムを守り、可用性を維持できます。"
