question,option1,option2,option3,option4,option5,answer,explanation,domain
"ある企業がAWS上でWebアプリケーションを構築しています。このアプリケーションのバックエンドデータベースにはAmazon RDS for PostgreSQLが使用されています。セキュリティチームは、データベースの認証情報（ユーザー名とパスワード）をアプリケーションのソースコード内にハードコードせず、安全に一元管理し、さらに自動的にローテーションすることを要件として定めています。この要件を満たす最適なAWSサービスはどれでしょうか。","AWS Systems Manager Parameter Store","AWS Secrets Manager","AWS Key Management Service (AWS KMS)","AWS IAM データベース認証",,"2","AWS Secrets Managerはデータベースの認証情報を安全に保存し、RDSと連携して組み込みの機能で自動的にパスワードをローテーションすることができるため、この要件に最適です。",1
"企業は、AWS上にデプロイされたAPIに対して、特定の国からのアクセスのみを許可し、SQLインジェクションやクロスサイトスクリプティング（XSS）攻撃から保護したいと考えています。APIはAmazon API Gatewayを使用してホストされています。運用オーバーヘッドを最小限に抑えつつ要件を満たすソリューションはどれでしょうか。","API GatewayにAWS WAFのWeb ACLを関連付け、地理的マッチ条件とマネージドルールグループを設定する。","Amazon CloudFrontをAPI Gatewayの前に配置し、地理的制限（ジオリストリクション）を有効にする。","Amazon GuardDutyを有効にして不正なアクセスを検知し、Lambdaで自動ブロックする。","VPCネットワークACLを変更して、特定の国からのIPアドレス範囲のみを許可する。",,"1","AWS WAFをAPI Gatewayに直接関連付けることで、地理的制限（特定の国からのアクセス許可）と、SQLインジェクションやXSSからの保護（マネージドルール）を単一のサービスで簡単に構成できます。",1
"ある企業は、Amazon S3バケットに機密の財務データを保存しています。コンプライアンスの要件により、保存されたデータは保存から5年間、管理者権限を持つユーザーであっても絶対に削除や上書きができないように保護する必要があります。この要件を満たす最も確実な方法はどれでしょうか。","S3バケットでバージョニングとMFA Deleteを有効にする。","S3バケットポリシーで「s3:DeleteObject」をすべてのユーザーに対して拒否（Deny）する。","S3オブジェクトロックを「コンプライアンスモード」で有効にし、保持期間を5年に設定する。","AWS Backupを使用して、S3バケットのデータを毎日別のAWSアカウントのGlacierボールトにバックアップする。",,"3","S3オブジェクトロックのコンプライアンスモードを使用すると、AWSアカウントのルートユーザーを含め、いかなるユーザーも指定された保持期間が経過するまでオブジェクトを削除または上書きできなくなります。",1
"開発チームは、VPC内のプライベートサブネットに配置されたAmazon EC2インスタンスから、Amazon S3バケットに大量のログファイルをアップロードするアプリケーションを構築しています。セキュリティチームは、この通信がパブリックインターネットを経由しないこと、およびデータ転送コストを最小限に抑えることを求めています。どのようにネットワークを設計するべきでしょうか。","パブリックサブネットにNATゲートウェイを配置し、プライベートサブネットのルートテーブルをNATゲートウェイに向ける。","VPCピアリング接続を作成し、S3のパブリックIPアドレス範囲へのトラフィックをルーティングする。","Amazon S3用のゲートウェイVPCエンドポイントを作成し、プライベートサブネットのルートテーブルに関連付ける。","Amazon S3用のインターフェイスVPCエンドポイント (AWS PrivateLink) を作成する。",,"3","Amazon S3用のゲートウェイVPCエンドポイントを使用することで、通信はAWSのプライベートネットワーク内に留まり、インターネットを経由しません。また、ゲートウェイエンドポイントは無料で利用でき、データ転送コストを最小限に抑えられます。",1
"あなたはソリューションアーキテクトとして、AWS上でマイクロサービスアーキテクチャを採用したアプリケーションを設計しています。あるサービス（プロデューサー）が別のサービス（コンシューマー）に大量のメッセージを送信しますが、トラフィックの急増時にコンシューマーが処理しきれずにメッセージが失われることを防ぐ必要があります。ジョブはステートレスで疎結合に実行されます。最適なソリューションはどれでしょうか。","Application Load Balancer (ALB) をコンシューマーの前に配置する。","Amazon Simple Queue Service (Amazon SQS) キューをプロデューサーとコンシューマーの間に配置する。","Amazon Simple Notification Service (Amazon SNS) を使用してメッセージを配信する。","Amazon Kinesis Data Firehoseを使用してメッセージをS3にバッファリングする。",,"2","Amazon SQSをコンポーネント間に配置することでシステムを疎結合にし、プロデューサーからのトラフィック急増時にメッセージをキューにバッファリングして、コンシューマーが自身のペースで処理できるようになります。",2
"ある企業が、Amazon EC2インスタンス上でWebアプリケーションをホストしています。このアプリケーションのユーザーセッションデータは、高速な読み書きが必要であり、インスタンスの障害時やトラフィック増減によるスケールイン・スケールアウト時にもデータが失われないように外部で管理する必要があります。最適なデータストアはどれでしょうか。","Amazon EBS プロビジョンド IOPS SSD (io2) ボリューム","Amazon ElastiCache for Redis","Amazon S3 Standard","Amazon Redshift",,"2","セッションデータのようにミリ秒未満のレイテンシーが求められ、一時的かつ高速なアクセスが必要なKey-Valueデータの外部保存先としては、インメモリデータストアであるAmazon ElastiCacheが最適です。",3
"グローバルに展開するeコマース企業が、静的な画像や動画ファイルと、動的なAPIリクエストの両方を世界中のユーザーに低遅延で配信したいと考えています。現在、すべてのリクエストは単一のAWSリージョンにあるApplication Load Balancer (ALB) とAmazon S3に向けられています。パフォーマンスを向上させる最適なソリューションはどれでしょうか。","AWS Global Acceleratorを構成し、ALBとS3をエンドポイントとして追加する。","Amazon CloudFrontディストリビューションを作成し、ALBとS3をオリジンとして構成する。","Amazon Route 53のレイテンシーベースルーティングを使用して、リクエストを分散させる。","すべての静的コンテンツをAmazon ElastiCacheにキャッシュする。",,"2","Amazon CloudFrontは、静的コンテンツを世界中のエッジロケーションにキャッシュして低遅延で配信するだけでなく、動的コンテンツ（APIリクエスト）のネットワーク経路を最適化してALBへのアクセスを高速化します。",3
"ある企業がAWSを活用してアプリケーションを開発しています。このアプリケーションのデータレイヤーには、Amazon DynamoDBテーブルを使用する予定です。データ処理は午前中はほとんど行われませんが、午後からは増加し、夕方には予測できない読み書きのトラフィックが発生する可能性があります。その際、短時間でトラフィックの急増が起こることも考えられます。コストを最適化しつつ要件を満たすために、どのような対策を講じるべきでしょうか。","オンデマンドモードのDynamoDBテーブルを作成する。","プロビジョンドキャパシティモードのDynamoDBテーブルを作成し、Auto Scalingを無効にする。","DynamoDB Accelerator (DAX) を導入して読み取りトラフィックを吸収する。","リザーブドキャパシティを購入し、ベースラインのトラフィックをカバーする。",,"1","トラフィックが予測不可能で、短時間に急増するようなワークロードの場合、DynamoDBのオンデマンドモードを使用することで、事前のキャパシティ計画なしにリクエストに応じた自動スケーリングとコスト最適化が図れます。",4
"ある企業は、VPC内にWindows File Server用のAmazon FSxをデプロイし、オンプレミスのActive Directory(AD)と連携させたいと考えています。オンプレミスのデータセンターとAWSのVPC間のネットワーク接続は、AWS Direct Connectを使用して確立されています。オンプレミスADのユーザー認証情報をシームレスに利用するためには、どのAWSサービスを使用すべきでしょうか。","AWS Directory Service の Simple AD","AWS Directory Service の AD Connector","Amazon Cognito ユーザープール","AWS IAM アイデンティティセンター (AWS SSO)",,"2","AD Connectorは、情報のキャッシュを行わずにAWS上のリクエストをオンプレミスのActive Directoryに直接プロキシ転送するディレクトリゲートウェイであり、既存のオンプレミスAD資格情報をAWSで利用する際に最適です。",1
"企業は複数のAWSアカウントをAWS Organizationsで一元管理しています。セキュリティポリシーにより、すべての開発用アカウントにおいて、ユーザーがAmazon EC2インスタンスにパブリックIPアドレスを自動割り当てすることを禁止する必要があります。このルールを最も効率的に適用する方法はどれでしょうか。","各開発アカウントでAWS Configルールを設定し、違反リソースを削除する。","AWS Organizationsのマスターアカウントでサービスコントロールポリシー (SCP) を作成し、開発用の組織単位(OU)にアタッチする。","各アカウントのVPCでインターネットゲートウェイをすべて削除する。","IAMの権限境界(Permissions Boundary)を使用してユーザーの権限を制限する。",,"2","サービスコントロールポリシー (SCP) を使用すると、組織内のアカウントに対して特定のAWSサービスやアクション（この場合はパブリックIPの割り当てなど）を強力に制限・強制でき、管理オーバーヘッドを最小化できます。",1
