question,option1,option2,option3,option4,answer,explanation
"AWSリソースの標準的なメトリクス（CPU使用率、ディスクI/O等）を収集・監視するサービスは？","AWS CloudTrail","Amazon CloudWatch","AWS Config","Amazon GuardDuty",2,"CloudWatchは、AWSリソースとアプリケーションのパフォーマンスデータをリアルタイムで収集・監視します。"
"AWSアカウント内で行われた「誰が・いつ・どのAPIを呼び出したか」という操作履歴を記録するサービスは？","Amazon CloudWatch","AWS CloudTrail","AWS Config","AWS Trusted Advisor",2,"CloudTrailは、アカウント全体の操作ログを記録し、監査やセキュリティ分析に利用されます。"
"AWSリソースの構成履歴を記録し、現在の設定がガイドライン（ルール）に準拠しているかを評価・監視するサービスは？","Amazon CloudWatch","AWS CloudTrail","AWS Config","AWS Systems Manager",3,"AWS Configは設定の変更を記録し、特定のルールに違反していないか（例：S3が公開されていないか）を自動チェックします。"
"AWSのベストプラクティスに基づき、コスト削減、セキュリティ、パフォーマンス、耐障害性の観点からアドバイスを提供してくれるサービスは？","AWS Config","AWS Trusted Advisor","Amazon Inspector","AWS Budgets",2,"Trusted Advisorは、アカウントをスキャンして改善すべき項目を具体的に提案してくれます。"
"複数のAWSアカウントを一元管理し、一括請求（コンソリデーティッドビリング）やポリシーによる統制を可能にするサービスは？","AWS IAM Identity Center","AWS Organizations","AWS Resource Access Manager","AWS Control Tower",2,"Organizationsを使用すると、複数のアカウントを組織単位(OU)で管理し、統制を強化できます。"
"Amazon CloudWatchにおいて、特定のメトリクスがしきい値を超えた際にSNS通知などのアクションを実行する機能は？","CloudWatch Logs","CloudWatch Alarms","CloudWatch Events","CloudWatch Dashboards",2,"アラームを設定することで、リソースの異常を検知した際に自動で通知やEC2の復旧などのアクションを行えます。"
"EC2インスタンス内部のOSレベルのログ（システムログ、カスタムログ）を収集するために必要なコンポーネントは？","CloudWatch エージェント","VPC フローログ","AWS CloudTrail","IAM ロール",1,"標準メトリクス以外のメモリ使用率やログファイルを取得するには、インスタンス内にCloudWatchエージェントをインストールする必要があります。"
"AWS Organizationsにおいて、組織内のすべてのアカウントに対して特定のサービス（例：S3の削除）を禁止するために使用するポリシーは？","IAM ポリシー","サービスコントロールポリシー (SCP)","リソースベースポリシー","信頼ポリシー",2,"SCPは組織全体の「ガードレール」として機能し、ルートユーザーを含む全ユーザーの権限を制限できます。"
"AWS Systems Managerにおいて、複数のEC2インスタンスに対してSSHなしでコマンドを実行したり、パッチ適用を自動化する機能は？","Session Manager / Run Command","AWS Lambda","AWS CloudFormation","AWS Config",1,"SSMを使用すると、安全かつ効率的に大規模なインスタンス群を管理・操作できます。"
"あらかじめ設定した予算額を超えそうな場合に、メールなどでアラートを送信するサービスは？","AWS Cost Explorer","AWS Budgets","AWS Trusted Advisor","AWS CloudTrail",2,"Budgetsを使用すると、コストや使用量に対して予算を設定し、計画的な運用が可能になります。"
"Amazon CloudWatch Logsにおいて、特定の文字列（例：'ERROR'）が含まれる回数をカウントし、それをメトリクスとして扱う機能を何と呼びますか？","メトリクスフィルタ","ログストリーム","インサイト","サブスクリプションフィルタ",1,"メトリクスフィルタを使うと、ログの内容を数値化してグラフ化したりアラームに繋げたりできます。"
"AWS CloudTrailにおいて、S3バケットへのデータアクセス（GetObject等）の詳細なログを記録したい場合に有効にするオプションは？","管理イベント","データイベント","Insightイベント","ネットワークイベント",2,"データイベント（オプション）を有効にすることで、リソース内の詳細な操作（データの読み書き）まで記録可能になります。"
"複数のリージョンやアカウントにまたがるCloudWatchメトリクスを、1つの画面でまとめて確認するために使用する機能は？","CloudWatch ダッシュボード","CloudWatch Logs","CloudWatch メトリクスストリーム","CloudWatch エクスプローラー",1,"ダッシュボードを作成することで、システム全体の状況を一目で把握できるようカスタマイズできます。"
"AWS Configにおいて、設定がルールに違反した際に、自動的に修正アクション（例：S3バケットを非公開にする）を実行する機能を何と呼びますか？","自動修復 (Remediation)","自動削除","CloudWatch Events連携","AWS Lambda呼び出し",1,"修復アクションを設定することで、構成の不備をリアルタイムで自動的に正すことができます。"
"AWS CloudTrailのログを、改ざん防止のために整合性を検証する機能を何と呼びますか？","ログファイルの整合性検証","S3 バージョニング","MFA 削除","暗号化",1,"この機能を有効にすると、ログが変更されたり削除されたりしていないかをデジタル署名で確認できます。"
"Amazon CloudWatch Events（またはEventBridge）を使用して、EC2のステータス変化（停止など）をトリガーにLambdaを実行する仕組みの「ターゲット」に該当するのはどれですか？","EC2 インスタンス","Lambda 関数","CloudWatch アラーム","SNS トピック",2,"イベントを検知して実際に動作する側（この場合はLambda）をターゲットと呼びます。"
"AWSアカウント内のコストと使用状況を視覚的に分析し、過去の傾向や将来の予測を確認できるツールは？","AWS Budgets","AWS Cost Explorer","AWS Trusted Advisor","IAM 認証情報レポート",2,"Cost Explorerは詳細なフィルタリング機能を持ち、コストの「見える化」に最適なツールです。"
"AWS Systems Managerにおいて、パラメータ（パスワードやAPIキー等）を階層的に管理し、暗号化して保存する機能は？","Secrets Manager","Parameter Store","KMS","CloudHSM",2,"Parameter Storeは、設定値や秘密情報をセキュアに管理・参照するための無料（標準機能）のツールです。"
"Amazon CloudWatch において、複数のアラームの状態を組み合わせて1つのアラームとして扱う機能を何と呼びますか？","複合アラーム (Composite Alarms)","マルチアラーム","メトリクス数式","アラームグループ",1,"複合アラームを使うと、「CPUとメモリの両方が高いときだけ通知する」といったノイズの少ないアラート設計が可能です。"
"AWSリソースの構成が、特定の時点からどれくらい変更されたかを時系列で確認できるサービスは？","AWS CloudTrail","AWS Config","Amazon CloudWatch","AWS Health Dashboard",2,"Configの「タイムライン」機能を使用すると、過去の構成変更履歴を詳細に追跡できます。"
"AWS Organizationsにおいて、管理アカウントから各メンバーアカウントの「請求」を一括で行うメリットは？","すべての無料枠がアカウントごとに適用される","ボリュームディスカウント（一括購入割引）が適用されやすくなる","セキュリティが向上する","AWSサポートが無料になる",2,"組織全体の使用量を合算することで、S3やデータ転送などの段階的割引が適用されやすくなり、コストが削減できます。"
"AWS Systems Managerの『State Manager』の主な役割は何ですか？","パッチの適用","インスタンスの構成状態（例：特定のソフトが導入されていること）を定義し、その状態を維持する","SSH接続の管理","ログの収集",2,"State Managerを使用すると、サーバーの構成が意図した状態から外れないように自動管理できます。"
"AWSのサービス自体の障害やメンテナンス情報を確認し、自分のリソースへの影響をパーソナライズして表示してくれるダッシュボードは？","AWS Service Health Dashboard","AWS Health Dashboard (旧 Personal Health Dashboard)","Amazon CloudWatch","AWS Trusted Advisor",2,"Health Dashboardは、自分のアカウントのリソースに直接影響するイベントを通知・表示してくれます。"
"Amazon CloudWatch Logsに保存された大量のログデータに対して、SQLライクなクエリを使用して高速に検索・分析する機能は？","CloudWatch Logs Insights","Amazon Athena","CloudWatch Metrics","Amazon OpenSearch",1,"Insightsを使用すると、複雑なフィルタリングや集計を対話的に行うことができます。"
"AWS CloudTrailのログを長期保存し、後から検索しやすくするための最適な保存先は？","Amazon S3","Amazon EBS","AWS Config","AWS Systems Manager",1,"CloudTrailのログは標準でS3に保存され、ライフサイクルポリシーと組み合わせることで安価に長期保管できます。"
"Amazon CloudWatch メトリクスの保存期間において、1分間隔のデータは標準で何日間保持されますか？","15日間","63日間","455日間（15ヶ月）","無制限",1,"古いデータは徐々に低い解像度（3時間間隔など）に集計され、最終的に15ヶ月間保持されます。"
"AWS Organizationsにおいて、新しいアカウントをプログラムで自動作成することは可能ですか？","可能","不可能","ルートユーザーの承認後のみ可能","サードパーティツールが必要",1,"Organizations APIを使用すると、ログインなしで新しいアカウントを作成し、自動的に組織に組み込めます。"
"AWS Systems Manager Patch Managerにおいて、パッチ適用が許可される時間枠を定義する設定を何と呼びますか？","パッチグループ","メンテナンスウィンドウ","スキャン管理","承認ルール",2,"メンテナンスウィンドウを設定することで、業務に影響のない時間帯に自動的に更新作業を行わせることができます。"
"AWSリソースを「タグ」でグループ化し、特定のプロジェクトや環境ごとにリソースを一括表示・管理できる機能は？","AWS Tag Editor","Resource Groups","AWS Organizations","AWS Config",2,"Resource Groupsを使用すると、共通のタグを持つリソースを1つの「グループ」として論理的にまとめられます。"
"AWS CloudTrailがAPI呼び出しを記録してから、実際にログファイルとしてS3に配信されるまでにかかる時間の目安は？","リアルタイム","通常15分以内","1時間","24時間",2,"CloudTrailはほぼリアルタイムに近い速度でログを出力しますが、S3への配信には若干のタイムラグが生じます。"
"Amazon CloudWatch において、標準メトリクス（1分・5分間隔）よりも高頻度な1秒間隔でデータを収集する設定を何と呼びますか？","高解像度メトリクス","リアルタイムメトリクス","ストリーミングメトリクス","詳細モニタリング",1,"カスタムメトリクスとして1秒間隔のデータを送信することで、極めて細かい変動を監視できるようになります。"
"AWS Systems Manager Session Managerを使用してEC2にログインする際、クライアント側に必要なものは？（プロトコルとして）","SSHクライアント (Port 22)","HTTPS (Port 443) のアウトバウンド接続","RDPクライアント (Port 3389)","専用のハードウェア",2,"Session Managerはエージェント経由でHTTPS通信を行うため、22番ポートを開放することなくブラウザやCLIから接続できます。"
"AWS Organizationsでサービスコントロールポリシー（SCP）を作成しただけでは効果がありません。次に何をすべきですか？","IAMユーザーを作成する","ルートアカウントを削除する","特定のOU（組織単位）またはアカウントに関連付ける","AWSサポートに連絡する",3,"SCPは、対象となるOUやアカウントにアタッチすることで初めて制限が発動します。"
"AWS CloudWatch Logsの保持期間（リテンション）のデフォルト設定はどうなっていますか？","15ヶ月","無期限","30日","削除されない",2,"デフォルトは無期限ですが、コスト削減のために「1ヶ月」「1年」など、必要に応じて自動削除設定を行うことが推奨されます。"
"AWS Configにおいて、自分のアカウントではなく、AWSが定義した「S3バケットの暗号化確認」などの既成ルールを何と呼びますか？","AWS 管理ルール","AWS カスタムルール","グローバルルール","コンプライアンスパック",1,"AWS管理ルールを使用すると、自分でコードを書かずに一般的なベストプラクティスに基づいたチェックが可能です。"
"AWS Systems Managerにおいて、EC2インスタンスだけでなくオンプレミスのサーバーも管理対象に含めることは可能ですか？","可能（ハイブリッドアクティベーションを使用）","不可能","AWS Direct Connectがあれば可能","VPCエンドポイントが必要",1,"SSMエージェントをオンプレミス環境に導入することで、クラウドと一元管理が可能になります。"
